"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-08","0.0",",,m","26.7",",,m","13.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-09","0.0",",,m","25.6",",,m","13.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-10","0.0",",,m","22.8",",,m","15.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-11","0.0",",,m","20.6",",,m","12.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-12","0.0",",,m","25.0",",,m","13.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-13","0.0",",,m","27.8",",,m","12.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-14","0.0",",,m","25.6",",,m","15.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-15","0.0",",,m","26.7",",,m","13.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-16","0.0",",,m","30.0",",,m","12.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-17","0.0",",,m","21.7",",,m","13.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-18","0.0",",,m","25.0",",,m","15.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-19","0.0",",,m","23.9",",,m","15.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-20","0.0",",,m","22.8",",,m","15.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-21","0.0",",,m","20.6",",,m","11.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-22","0.0",",,m","18.9",",,m","12.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-23","0.0",",,m","20.0",",,m","10.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-24","0.0",",,m","20.0",",,m","11.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-25","0.0",",,m","21.7",",,m","10.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-26","0.0",",,m","22.8",",,m","11.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-27","0.0",",,m","21.7",",,m","13.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-28","0.0",",,m","22.8",",,m","13.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-29","0.0",",,m","21.7",",,m","15.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-30","0.0",",,m","25.6",",,m","15.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-03-31","0.0",",,m","30.0",",,m","15.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-01","0.0",",,m","30.0",",,m","18.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-02","0.0",",,m","28.9",",,m","16.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-03","0.0",",,m","27.8",",,m","17.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-04","0.0",",,m","28.9",",,m","15.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-05","0.0",",,m","25.6",",,m","16.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-06","0.0",",,m","25.6",",,m","17.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-07","0.0",",,m","23.9",",,m","20.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-08","4.8",",,m","28.9",",,m","17.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-09","1.8",",,m","17.8",",,m","11.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-10","0.0",",,m","20.0",",,m","10.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-11","0.0",",,m","21.7",",,m","13.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-12","0.0",",,m","30.6",",,m","12.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-13","0.0",",,m","20.6",",,m","15.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-14","0.0",",,m","26.7",",,m","13.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-15","0.0",",,m","21.7",",,m","15.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-16","0.0",",,m","28.9",",,m","13.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-17","0.0",",,m","28.9",",,m","10.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-18","0.0",",,m","38.9",",,m","12.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-19","0.0",",,m","32.8",",,m","15.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-20","0.0",",,m","31.7",",,m","18.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-21","0.0",",,m","30.6",",,m","18.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-22","0.0",",,m","30.0",",,m","17.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-23","0.0",",,m","32.8",",,m","17.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-24","0.0",",,m","32.8",",,m","20.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-25","0.0",",,m","31.7",",,m","20.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-26","0.0",",,m","30.0",",,m","20.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-27","0.0",",,m","32.8",",,m","18.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-28","0.0",",,m","30.0",",,m","20.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-29","0.0",",,m","35.6",",,m","17.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-04-30","0.0",",,m","25.6",",,m","25.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-01","0.0",",,m","25.6",",,m","20.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-02","0.0",",,m","26.7",",,m","21.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-03","0.0",",,m","30.6",",,m","20.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-04","0.0",",,m","28.9",",,m","20.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-05","0.0",",,m","30.0",",,m","17.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-06","0.0",",,m","30.6",",,m","22.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-07","0.0",",,m","36.7",",,m","17.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-08","0.0",",,m","35.6",",,m","25.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-09","0.0",",,m","35.6",",,m","22.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-10","0.0",",,m","32.8",",,m","18.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-11","0.0",",,m","35.0",",,m","20.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-12","0.0",",,m","36.7",",,m","15.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-13","0.0",",,m","28.9",",,m","20.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-14","0.0",",,m","33.9",",,m","20.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-15","0.0",",,m","32.8",",,m","17.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-16","0.0",",,m","30.0",",,m","20.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-17","0.0",",,m","25.6",",,m","20.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-18","0.0",",,m","28.9",",,m","18.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-19","0.0",",,m","30.0",",,m","16.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-20","0.0",",,m","30.6",",,m","15.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-21","0.0",",,m","28.9",",,m","17.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-22","0.0",",,m","30.0",",,m","20.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-23","0.0",",,m","30.6",",,m","16.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-24","0.0",",,m","25.6",",,m","15.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-25","0.0",",,m","30.0",",,m","18.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-26","0.0",",,m","30.6",",,m","22.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-27","0.0",",,m","30.0",",,m","22.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-28","0.0",",,m","32.8",",,m","21.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-29","0.0",",,m","30.6",",,m","20.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-30","0.0",",,m","33.9",",,m","20.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-05-31","0.0",",,m","27.8",",,m","17.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-01","0.0",",,m","31.7",",,m","20.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-02","0.0",",,m","33.9",",,m","20.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-03","0.0",",,m","31.7",",,m","17.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-04","0.0",",,m","30.0",",,m","18.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-05","0.0",",,m","32.8",",,m","20.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-06","0.0",",,m","35.6",",,m","20.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-07","0.0",",,m","35.6",",,m","22.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-08","0.0",",,m","36.7",",,m","22.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-09","0.0",",,m","36.7",",,m","23.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-10","0.0",",,m","28.9",",,m","20.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-11","0.0",",,m","26.7",",,m","20.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-12","0.0",",,m","35.6",",,m","20.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-13","0.0",",,m","35.0",",,m","20.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-14","0.0",",,m","33.9",",,m","22.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-15","0.0",",,m","37.8",",,m","23.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-16","0.0",",,m","30.6",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-17","0.0",",,m","30.0",",,m","23.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-18","0.0",",,m","33.9",",,m","25.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-19","0.0",",,m","35.6",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-20","0.0",",,m","36.7",",,m","25.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-21","0.0",",,m","35.0",",,m","21.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-22","0.0",",,m","33.9",",,m","23.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-23","0.0",",,m","35.0",",,m","25.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-24","0.0",",,m","35.6",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-25","0.0",",,m","35.0",",,m","25.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-26","0.0",",,m","33.9",",,m","23.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-27","0.0",",,m","37.8",",,m","25.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-28","0.0",",,m","38.9",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-29","0.0",",,m","36.7",",,m","28.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-06-30","0.0",",,m","31.7",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-01","0.0",",,m","35.6",",,m","25.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-02","0.0",",,m","38.9",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-03","0.0",",,m","37.8",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-04","0.0",",,m","37.8",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-05","0.0",",,m","31.7",",,m","25.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-06","0.0",",,m","35.6",",,m","25.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-07","0.0",",,m","32.8",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-08","0.0",",,m","40.0",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-09","0.0",",,m","38.9",",,m","30.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-10","0.0",",,m","40.0",",,m","28.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-11","0.0",",,m","37.8",",,m","28.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-12","0.0",",,m","38.9",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-13","0.0",",,m","40.0",",,m","25.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-14","0.0",",,m","37.8",",,m","25.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-15","0.0",",,m","38.9",",,m","25.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-16","0.0",",,m","36.7",",,m","23.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-17","0.0",",,m","37.8",",,m","28.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-18","0.0",",,m","32.8",",,m","25.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-19","0.0",",,m","31.7",",,m","25.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-20","0.0",",,m","40.6",",,m","28.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-21","0.0",",,m","40.0",",,m","30.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-22","0.0",",,m","30.6",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-23","0.0",",,m","30.6",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-24","0.0",",,m","33.9",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-25","0.0",",,m","40.0",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-26","0.0",",,m","38.9",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-27","0.0",",,m","38.9",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-28","0.0",",,m","36.7",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-29","0.0",",,m","37.8",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-30","0.0",",,m","36.7",",,m","28.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-07-31","0.0",",,m","33.9",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-01","0.0",",,m","35.6",",,m","28.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-02","0.0",",,m","38.9",",,m","28.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-03","0.0",",,m","37.8",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-04","0.0",",,m","33.9",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-05","0.0",",,m","36.7",",,m","25.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-06","0.0",",,m","37.8",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-07","0.0",",,m","38.9",",,m","25.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-08","0.0",",,m","40.0",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-09","0.0",",,m","38.9",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-10","0.0",",,m","33.9",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-11","0.0",",,m","38.9",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-12","0.0",",,m","37.8",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-13","0.0",",,m","37.8",",,m","28.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-14","0.0",",,m","36.7",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-15","0.0",",,m","30.6",",,m","25.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-16","0.0",",,m","32.8",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-17","0.0",",,m","32.8",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-18","0.0",",,m","40.0",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-19","0.0",",,m","37.8",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-20","0.0",",,m","36.7",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-21","0.0",",,m","38.9",",,m","25.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-22","0.0",",,m","36.7",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-23","0.0",",,m","35.6",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-24","0.0",",,m","37.8",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-25","0.0",",,m","33.9",",,m","25.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-26","0.0",",,m","35.6",",,m","25.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-27","0.0",",,m","38.9",",,m","25.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-28","0.0",",,m","40.6",",,m","25.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-29","0.0",",,m","40.0",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-30","0.0",",,m","38.9",",,m","28.9",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-08-31","0.0",",,m","36.7",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-09-01","0.0",",,m","38.9",",,m","25.0",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-09-02","0.0",",,m","36.7",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-09-03","0.0",",,m","32.8",",,m","25.6",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-09-04","0.0",",,m","30.6",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-09-05","0.0",",,m","31.7",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-09-06","0.0",",,m","37.8",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-09-07","0.0",",,m","38.9",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-09-08","0.0",",,m","36.7",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-09-09","0.0",",,m","35.6",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-09-10","0.0",",,m","35.6",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-09-11","0.0",",,m",,,,
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-09-12","0.0",",,m","33.9",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-09-13","0.0",",,m","35.6",",,m","26.7",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-09-14","0.0",",,m","32.8",",,m","27.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-09-15","0.0",",,m","31.7",",,m","22.8",",,m"
"MXN00002002","BAHIA DE LOS ANGELES, MX","28.6","-113.55","4.0","2011-09-16","0.0",",,m","37.8",",,m","23.9",",,m"
